Rango,campeones,Win Rate,Pick Rate,Ban Rate
1,Jhin,52.71,20.8,5.21
2,Kog'Maw,53.2,10.56,17.39
3,Jinx,50.13,25.4,13.84
4,Miss Fortune,51.06,9.27,2.23
5,Ezreal,48.96,17.93,8.11
6,Kai'Sa,49.04,15.78,2.51
7,Lucian,50.63,8.08,2.01
8,Nilah,53.47,2.05,4.07
9,Xayah,50.31,7.75,4.87
10,Caitlyn,49.12,11.48,8.37
11,Aphelios,48.78,11.77,4.03
12,Twitch,50.62,5.32,4.68
13,Varus,49.77,7.23,1.7
14,Karthus,54.34,0.73,0.48
15,Draven,49.96,4.74,12.14
16,Tristana,48.91,5.53,2.92
17,Vayne,47.84,8.15,5.84
18,Ashe,48.6,5.8,1.1
19,Veigar,52.53,0.96,0.59
20,Samira,48.56,5.25,15.5
21,Sivir,49.14,2.92,0.86
22,Zeri,47.9,4.34,2.51
23,Kalista,44.62,1.44,0.39
