Rango,campeones,Win Rate,Pick Rate,Ban Rate
1,Amumu,54.27,7.77,5.32
2,Kha'Zix,51.69,16.21,31.84
3,Nocturne,52.03,6.84,6.64
4,Jarvan IV,52.12,5.9,4.57
5,Maestro Yi,49.59,11.41,26.78
6,Rammus,52.93,3.06,9.04
7,Kayn,49.89,10.13,9.21
8,Vi,51.23,5.85,2.85
9,Graves,50.55,6.36,1.95
10,Warwick,50.89,4.66,3.56
11,Evelynn,51.19,4.01,6.71
12,Maokai,51.78,3.09,0.7
13,Hecarim,49.47,7.49,13.08
14,Fiddlesticks,51.56,3.18,1.95
15,Shaco,49.15,6.97,19.63
16,Lillia,51.52,3.1,1.56
17,Ekko,50.25,5.04,2.3
18,Zac,51.23,3.08,1.88
19,Sylas,49.51,4.65,5.32
20,Trundle,51.57,2.05,0.65
21,Sejuani,50.52,2.94,0.67
22,Lee Sin,47.5,9.29,7.32
23,Diana,49.46,3.94,1.35
24,Poppy,50.78,2.22,1.35
25,Viego,48.26,6.15,1.92
26,Xin Zhao,50.3,2.65,0.36
27,Udyr,50.42,2.41,2.29
28,Rengar,48.64,4.71,4.59
29,Wukong,49.35,3.59,1.55
30,Elise,50.42,2.11,4.03
31,Bel'Veth,48.9,3.64,5.35
32,Shyvana,50.67,1.68,0.29
33,Gragas,48.99,3.22,1.17
34,Volibear,50.13,1.99,0.43
35,Nunu y Willump,48.69,3.0,0.75
36,Kindred,47.35,4.88,2.93
37,Talon,49.76,1.72,1.03
38,Nidalee,47.98,3.62,2.86
39,Karthus,49.7,1.7,1.12
40,Jax,49.38,1.54,2.03
41,Mordekaiser,51.53,0.59,0.97
42,Skarner,51.48,0.53,0.09
43,Neeko,45.47,2.47,5.48
44,Zed,46.66,0.82,2.66
45,Ivern,47.54,0.52,0.17
46,Rek'Sai,47.12,0.55,0.37
