Rango,campeones,Win Rate,Pick Rate,Ban Rate
1,Aurelion Sol,53.09,6.0,12.66
2,Ahri,50.86,13.29,8.54
3,Fizz,52.22,5.99,8.61
4,Annie,52.47,4.79,3.03
5,Malzahar,52.17,4.88,5.6
6,Veigar,51.15,6.76,4.17
7,Zed,49.51,9.43,30.52
8,Talon,51.36,4.66,2.8
9,Viktor,51.29,4.52,2.19
10,Lux,50.98,3.97,3.16
11,Pantheon,51.3,3.84,2.59
12,Vex,51.09,3.85,4.86
13,Yasuo,48.15,12.46,15.32
14,Cassiopeia,51.69,2.46,2.57
15,Syndra,50.65,4.11,1.67
16,Garen,54.35,0.57,0.2
17,Malphite,52.27,1.42,2.34
18,Yone,48.87,8.88,5.86
19,Vladimir,50.89,3.38,3.44
20,Anivia,51.87,2.03,2.09
21,Sylas,49.62,5.59,6.39
22,Neeko,50.63,2.52,5.59
23,Irelia,49.79,3.92,7.86
24,Xerath,51.71,1.52,1.52
25,Akshan,49.76,3.92,5.89
26,Swain,52.0,1.21,0.58
27,Lissandra,50.17,3.21,1.21
28,Ekko,50.31,2.63,1.2
29,Diana,51.07,1.8,0.62
30,Katarina,47.2,9.83,13.94
31,Akali,48.4,4.8,5.8
32,Cho'Gath,51.92,0.73,0.27
33,Galio,50.42,1.52,0.23
34,Qiyana,49.59,2.28,0.45
35,Heimerdinger,51.67,0.67,0.39
36,LeBlanc,47.85,4.34,7.74
37,Kennen,51.07,0.82,0.32
38,Ziggs,49.95,1.41,0.17
39,Kassadin,49.94,1.4,1.97
40,Zoe,49.17,2.03,0.93
41,Jayce,50.03,1.24,0.87
42,Orianna,49.47,1.72,0.16
43,Vel'Koz,50.82,0.76,0.14
44,Kayle,49.3,1.29,1.02
45,Taliyah,50.37,0.73,0.1
46,Twisted Fate,48.02,2.27,0.12
47,Gragas,49.97,0.78,0.28
48,Rumble,49.45,0.97,0.32
49,Gangplank,49.22,0.92,0.77
50,Brand,49.26,0.85,0.72
51,Teemo,49.82,0.54,0.67
52,Tristana,47.82,1.35,0.71
53,Varus,48.57,0.88,0.21
54,Azir,48.01,1.14,0.22
55,Ryze,47.52,1.25,0.15
56,Corki,45.45,0.78,0.12
57,K'Sante,44.27,0.81,0.53
