Rango,campeones,Win Rate,Pick Rate,Ban Rate
1,Milio,52.08,10.83,12.32
2,Janna,53.54,4.37,0.59
3,Sona,53.24,4.74,0.28
4,Lux,50.27,13.05,10.42
5,Blitzcrank,50.93,8.71,32.47
6,Xerath,52.06,5.74,5.74
7,Thresh,49.97,13.54,6.28
8,Rakan,51.24,5.96,2.01
9,Nautilus,50.01,9.68,11.74
10,Zyra,51.58,3.83,2.57
11,Leona,50.82,5.52,5.18
12,Nami,50.74,5.81,0.5
13,Amumu,52.14,2.53,1.73
14,Senna,49.76,8.54,3.32
15,Morgana,49.37,7.5,22.58
16,Yuumi,49.54,7.52,11.01
17,Soraka,50.7,4.07,0.93
18,Lulu,48.43,10.64,7.52
19,Shaco,51.9,1.47,4.13
20,Brand,50.43,3.89,3.3
21,Swain,50.24,4.14,1.99
22,Maokai,51.44,2.07,0.47
23,Pyke,48.81,6.7,12.0
24,Alistar,50.56,2.81,0.65
25,Taric,51.71,1.37,0.2
26,Annie,51.79,1.14,0.72
27,Braum,50.45,2.25,0.33
28,Zilean,50.58,1.98,0.46
29,Vel'Koz,50.39,2.03,0.38
30,Seraphine,49.04,3.77,0.7
31,Karma,48.08,5.61,1.31
32,Neeko,48.77,3.24,7.19
33,Renata Glasc,50.65,1.34,0.35
34,Heimerdinger,50.69,1.27,0.73
35,Fiddlesticks,51.92,0.52,0.32
36,Bardo,49.63,1.51,0.19
37,Rell,50.56,0.88,0.22
38,Pantheon,47.95,2.1,1.42
39,Teemo,49.56,0.6,0.74
40,Ashe,46.28,2.78,0.53
41,Tahm Kench,48.44,0.78,0.27
42,Malphite,46.91,0.91,1.49
43,Twitch,47.26,0.79,0.7
44,Miss Fortune,45.88,1.23,0.3
45,Veigar,46.12,0.83,0.51
