Rango,campeones,Win Rate,Pick Rate,Ban Rate
1,Malphite,51.94,7.73,12.68
2,Kayle,51.5,9.35,7.4
3,Garen,52.4,6.79,2.42
4,Mordekaiser,51.36,6.85,11.32
5,Sion,51.84,5.8,3.41
6,Ornn,51.51,6.45,3.05
7,Dr. Mundo,52.99,3.77,3.51
8,Yorick,52.05,4.57,5.83
9,Jax,49.97,7.82,10.28
10,Illaoi,51.02,5.62,13.02
11,Fiora,51.06,4.99,10.57
12,Teemo,50.57,5.57,6.89
13,Sett,50.51,5.68,2.82
14,Darius,49.38,7.01,18.79
15,Nasus,50.49,4.73,3.62
16,Cho'Gath,51.48,3.24,1.18
17,Shen,50.68,3.12,0.44
18,Pantheon,50.53,2.93,1.97
19,Jayce,49.54,4.26,2.96
20,Aatrox,49.19,4.81,3.71
21,Urgot,50.99,2.54,1.0
22,Kled,51.95,1.8,1.25
23,Olaf,50.49,2.82,3.38
24,Singed,52.43,1.36,0.25
25,Irelia,49.18,3.56,7.14
26,Riven,49.66,3.39,0.79
27,Camille,50.0,2.99,1.47
28,Maokai,52.64,1.11,0.25
29,Poppy,50.62,2.02,1.23
30,Gwen,48.89,3.36,1.57
31,Yone,47.81,4.18,2.76
32,Quinn,50.84,1.57,0.62
33,Warwick,50.78,1.47,1.12
34,Tahm Kench,49.94,1.89,0.65
35,Gangplank,48.12,3.43,2.89
36,Volibear,48.78,2.46,0.54
37,Tryndamere,48.45,2.73,1.8
38,Zac,52.29,0.68,0.41
39,Akshan,50.06,1.31,1.97
40,Kennen,48.52,2.18,0.86
41,Gnar,48.5,2.19,0.45
42,Cassiopeia,52.14,0.58,0.61
43,Gragas,47.93,2.48,0.9
44,Yasuo,46.74,2.59,3.18
45,Vayne,47.32,2.24,1.6
46,Trundle,50.34,0.83,0.27
47,Rengar,49.21,1.1,1.07
48,Renekton,46.96,2.5,1.59
49,Swain,51.21,0.55,0.26
50,Heimerdinger,50.92,0.62,0.36
51,K'Sante,44.43,5.49,3.61
52,Vladimir,49.23,1.03,1.04
53,Sylas,48.06,1.18,1.34
54,Wukong,49.42,0.6,0.26
55,Akali,47.05,1.12,1.36
56,Rumble,46.54,1.18,0.39
